ASW CEU CHB CHS CLM FIN GBR IBS JPT LWK MXL PUR TSI YRI
ASW 0.1229220273754 0.106423260645232 0.0940560501349753 0.0919555142027273 0.101219633020999 0.103580606695185 0.108744788627272 0.0985691499461991 0.0948791589526532 0.132262405383244 0.107437690049712 0.109529793877335 0.115066907991967 0.123909646792844
CEU 0.106423260645232 0.124665875546573 0.112638148754276 0.112782723873299 0.119207454197493 0.123197673510861 0.124845360923367 0.116098476144453 0.114068902946599 0.112420515787739 0.124913219733143 0.12006520543532 0.128765854289664 0.101882660089557
CHB 0.0940560501349753 0.112638148754276 0.110368354431592 0.110938424197393 0.108822839506173 0.112201641947901 0.112020012367284 0.103748198861601 0.110179343597043 0.0986085654152399 0.112518054449326 0.108151066530448 0.114347214245594 0.0892360135440032
CHS 0.0919555142027273 0.112782723873299 0.110938424197393 0.113113792192192 0.108861555555556 0.112965978021032 0.111897868205284 0.103860037180037 0.110466369740527 0.0960521643292777 0.112466134012801 0.107860392756393 0.114125215828073 0.0867972376922377
CLM 0.101219633020999 0.119207454197493 0.108822839506173 0.108861555555556 0.117860504671338 0.11647951302557 0.119608823430172 0.110337132370466 0.11062269479217 0.104584214455005 0.117101512623735 0.114674261534262 0.121415394646347 0.0953416619270786
FIN 0.103580606695185 0.123197673510861 0.112201641947901 0.112965978021032 0.11647951302557 0.123812307046323 0.123639502496335 0.115634039569523 0.11352724537997 0.110098124285465 0.124989284494661 0.118586280121764 0.127639701804064 0.0995648927275271
GBR 0.108744788627272 0.124845360923367 0.112020012367284 0.111897868205284 0.119608823430172 0.123639502496335 0.126697590659717 0.117058143215447 0.113959106183573 0.114635097509185 0.125174004784492 0.120925463154677 0.129871129097453 0.10453229710814
IBS 0.0985691499461991 0.116098476144453 0.103748198861601 0.103860037180037 0.110337132370466 0.115634039569523 0.117058143215447 0.111116504259361 0.105437202852933 0.104209611673529 0.117429524762858 0.111912192712193 0.120506027893783 0.0944120841620842
JPT 0.0948791589526532 0.114068902946599 0.110179343597043 0.110466369740527 0.11062269479217 0.11352724537997 0.113959106183573 0.105437202852933 0.111380636412198 0.0990406924937216 0.113826795811815 0.109418495103888 0.11591453067376 0.0897052165802166
LWK 0.132262405383244 0.112420515787739 0.0986085654152399 0.0960521643292777 0.104584214455005 0.110098124285465 0.114635097509185 0.104209611673529 0.0990406924937216 0.148285985634907 0.115203934956512 0.116885225619246 0.123831007106412 0.136785078424254
MXL 0.107437690049712 0.124913219733143 0.112518054449326 0.112466134012801 0.117101512623735 0.124989284494661 0.125174004784492 0.117429524762858 0.113826795811815 0.115203934956512 0.128404367636691 0.12095035421096 0.130554155887489 0.103832002112305
PUR 0.109529793877335 0.12006520543532 0.108151066530448 0.107860392756393 0.114674261534262 0.118586280121764 0.120925463154677 0.111912192712193 0.109418495103888 0.116885225619246 0.12095035421096 0.11836513405968 0.125783556469271 0.107025112302385
TSI 0.115066907991967 0.128765854289664 0.114347214245594 0.114125215828073 0.121415394646347 0.127639701804064 0.129871129097453 0.120506027893783 0.11591453067376 0.123831007106412 0.130554155887489 0.125783556469271 0.13610702706038 0.112536142589714
YRI 0.123909646792844 0.101882660089557 0.0892360135440032 0.0867972376922377 0.0953416619270786 0.0995648927275271 0.10453229710814 0.0944120841620842 0.0897052165802166 0.136785078424254 0.103832002112305 0.107025112302385 0.112536142589714 0.12994337816639
